loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,issue_year,issue_month,loan_status,is_default,dti_bucket,income_bracket,loan_to_income,risk_tier,term_months
100031,15000,36 months,12.42,501.23,C,C3,2 years,OWN,23208.0,credit_card,MO,13.83,0,0,20,0,82.2,38,2021,12,Fully Paid,0,Moderate (10-20%),Low (<40k),0.646,Medium Risk,36
100032,10000,36 months,9.39,319.82,B,B2,7 years,OWN,53170.99,vacation,IN,27.51,0,4,5,0,8.5,5,2020,12,Current,0,High (20-30%),Lower-Middle (40-70k),0.188,Low Risk,36
100033,5000,36 months,11.24,164.26,B,B2,6 years,MORTGAGE,36132.5,credit_card,WA,28.53,0,0,19,0,53.3,24,2021,7,Fully Paid,0,High (20-30%),Low (<40k),0.138,Low Risk,36
100034,10000,36 months,6.7,307.4,A,A4,3 years,MORTGAGE,99150.53,credit_card,GA,19.18,0,0,9,1,56.4,25,2020,11,Fully Paid,0,Moderate (10-20%),Upper-Middle (70-100k),0.101,Low Risk,36
100035,5000,36 months,30.73,214.26,G,G5,3 years,OWN,30078.15,debt_consolidation,NC,14.61,0,4,24,0,52.5,26,2023,4,Charged Off,1,Moderate (10-20%),Low (<40k),0.166,High Risk,36
100036,18000,60 months,7.47,360.43,A,A1,4 years,RENT,61616.88,debt_consolidation,MD,19.06,0,2,21,0,73.6,21,2021,4,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.292,Low Risk,60
100037,10000,36 months,9.16,318.74,B,B3,1 year,RENT,120861.53,small_business,CA,2.53,0,1,6,0,76.0,14,2023,12,Fully Paid,0,Low (<10%),High (100k+),0.083,Low Risk,36
100038,25000,36 months,29.92,1060.19,G,G5,7 years,MORTGAGE,56329.04,major_purchase,NY,22.98,0,1,22,0,81.5,26,2021,8,Late (31-120 days),1,High (20-30%),Lower-Middle (40-70k),0.444,High Risk,36
100039,15000,36 months,13.87,511.72,C,C3,< 1 year,OWN,50510.94,debt_consolidation,AZ,23.1,0,0,22,0,22.9,29,2022,4,Charged Off,1,High (20-30%),Lower-Middle (40-70k),0.297,Medium Risk,36
100040,18000,36 months,16.98,641.57,D,D5,3 years,MORTGAGE,83829.06,major_purchase,MI,5.73,0,1,2,0,53.6,7,2021,4,Fully Paid,0,Low (<10%),Upper-Middle (70-100k),0.215,Medium Risk,36
100041,15000,36 months,15.05,520.35,D,D2,10+ years,RENT,74932.87,debt_consolidation,MI,28.65,0,0,9,0,22.7,14,2019,2,Current,0,High (20-30%),Upper-Middle (70-100k),0.2,Medium Risk,36
100042,7500,60 months,13.78,173.66,C,C4,8 years,MORTGAGE,93175.19,major_purchase,GA,14.98,0,4,10,0,45.1,20,2023,6,Fully Paid,0,Moderate (10-20%),Upper-Middle (70-100k),0.08,Medium Risk,60
100043,18000,36 months,13.14,607.71,C,C5,9 years,RENT,73320.19,debt_consolidation,NJ,31.51,0,3,7,0,46.6,8,2023,6,Fully Paid,0,Very High (30%+),Upper-Middle (70-100k),0.245,Medium Risk,36
100044,25000,36 months,7.26,774.9,A,A4,4 years,MORTGAGE,124496.17,moving,NC,0.52,0,4,18,0,41.5,37,2019,7,Fully Paid,0,Low (<10%),High (100k+),0.201,Low Risk,36
100045,12000,36 months,10.05,387.49,B,B3,7 years,MORTGAGE,89945.06,debt_consolidation,MD,15.11,0,0,16,0,52.4,33,2020,7,Fully Paid,0,Moderate (10-20%),Upper-Middle (70-100k),0.133,Low Risk,36
100046,15000,36 months,24.08,589.12,F,F2,6 years,RENT,82541.4,debt_consolidation,GA,1.08,1,1,23,0,56.9,37,2023,8,Current,0,Low (<10%),Upper-Middle (70-100k),0.182,High Risk,36
100047,7500,36 months,22.78,289.46,E,E4,1 year,RENT,96009.25,debt_consolidation,MD,12.96,0,3,17,0,58.3,35,2020,2,Fully Paid,0,Moderate (10-20%),Upper-Middle (70-100k),0.078,High Risk,36
100048,10000,60 months,11.49,219.88,B,B4,9 years,MORTGAGE,83064.46,debt_consolidation,MI,8.78,0,2,15,0,48.5,31,2020,6,Fully Paid,0,Low (<10%),Upper-Middle (70-100k),0.12,Low Risk,60
100049,25000,36 months,19.53,923.11,E,E4,5 years,OWN,46053.34,debt_consolidation,FL,27.33,0,1,10,0,6.7,15,2019,11,Fully Paid,0,High (20-30%),Lower-Middle (40-70k),0.543,High Risk,36
100050,15000,36 months,25.39,599.5,F,F3,1 year,RENT,23661.55,major_purchase,MD,20.76,0,2,22,0,77.1,25,2022,8,Late (31-120 days),1,High (20-30%),Low (<40k),0.634,High Risk,36
100051,30000,36 months,13.19,1013.57,C,C2,9 years,RENT,30460.63,debt_consolidation,NY,19.35,1,0,21,0,84.6,31,2021,8,Fully Paid,0,Moderate (10-20%),Low (<40k),0.985,Medium Risk,36
100052,15000,36 months,17.82,540.93,D,D1,< 1 year,OWN,84421.32,credit_card,MA,38.48,0,2,13,0,87.3,28,2023,9,Charged Off,1,Very High (30%+),Upper-Middle (70-100k),0.178,Medium Risk,36
100053,30000,60 months,23.88,860.95,F,F4,9 years,MORTGAGE,41460.27,other,OH,1.58,0,3,15,2,69.7,29,2021,4,Late (31-120 days),1,Low (<10%),Lower-Middle (40-70k),0.724,High Risk,60
100054,15000,36 months,21.09,565.82,E,E2,2 years,MORTGAGE,81309.21,debt_consolidation,VA,19.24,0,1,8,0,80.4,22,2021,12,Charged Off,1,Moderate (10-20%),Upper-Middle (70-100k),0.184,High Risk,36
100055,5000,60 months,11.61,110.24,B,B3,2 years,RENT,21908.65,debt_consolidation,IN,21.16,1,4,22,0,62.8,33,2021,5,Fully Paid,0,High (20-30%),Low (<40k),0.228,Low Risk,60
100056,10000,36 months,15.44,348.81,D,D1,< 1 year,OWN,34480.07,debt_consolidation,MA,1.68,1,2,18,0,21.8,21,2023,8,Fully Paid,0,Low (<10%),Low (<40k),0.29,Medium Risk,36
100057,18000,36 months,14.97,623.71,C,C5,5 years,MORTGAGE,38349.28,credit_card,MI,16.06,0,4,12,0,38.4,13,2022,7,Charged Off,1,Moderate (10-20%),Low (<40k),0.469,Medium Risk,36
100058,15000,36 months,21.39,568.13,E,E3,2 years,MORTGAGE,23768.9,debt_consolidation,MA,39.85,0,3,10,0,58.0,13,2023,9,Fully Paid,0,Very High (30%+),Low (<40k),0.631,High Risk,36
100059,15000,36 months,22.24,574.72,E,E2,7 years,RENT,225329.09,debt_consolidation,IL,3.48,0,1,17,0,8.1,34,2021,3,Current,0,Low (<10%),High (100k+),0.067,High Risk,36
100060,20000,60 months,21.18,543.09,E,E2,10+ years,OWN,88942.51,major_purchase,NJ,9.81,0,0,14,1,10.6,23,2021,7,Late (31-120 days),1,Low (<10%),Upper-Middle (70-100k),0.225,High Risk,60
100061,25000,36 months,6.69,768.39,A,A3,6 years,RENT,55749.74,debt_consolidation,IN,22.25,0,0,10,0,11.6,26,2020,7,Fully Paid,0,High (20-30%),Lower-Middle (40-70k),0.448,Low Risk,36
100062,15000,60 months,13.03,341.53,C,C2,< 1 year,MORTGAGE,44316.17,major_purchase,CA,12.04,2,4,23,0,87.2,40,2022,7,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.338,Medium Risk,60
100063,12000,60 months,6.97,237.44,A,A1,9 years,RENT,59120.94,credit_card,FL,27.33,0,2,18,0,45.1,20,2019,4,Fully Paid,0,High (20-30%),Lower-Middle (40-70k),0.203,Low Risk,60
100064,30000,36 months,18.47,1091.66,D,D3,3 years,RENT,65767.31,debt_consolidation,NY,34.29,0,0,2,0,23.0,7,2023,11,Fully Paid,0,Very High (30%+),Lower-Middle (40-70k),0.456,Medium Risk,36
100065,20000,60 months,30.47,652.85,G,G1,3 years,RENT,60444.96,small_business,VA,33.79,0,0,22,0,18.5,24,2020,9,Charged Off,1,Very High (30%+),Lower-Middle (40-70k),0.331,High Risk,60
100066,15000,36 months,9.48,480.35,B,B1,< 1 year,RENT,28168.46,debt_consolidation,MO,39.37,0,1,15,0,60.0,29,2019,6,Charged Off,1,Very High (30%+),Low (<40k),0.533,Low Risk,36
100067,30000,36 months,15.97,1054.27,D,D1,5 years,RENT,131189.4,debt_consolidation,GA,19.96,0,0,19,0,51.8,19,2021,2,Fully Paid,0,Moderate (10-20%),High (100k+),0.229,Medium Risk,36
100068,20000,36 months,29.76,846.4,G,G2,5 years,MORTGAGE,101692.61,home_improvement,NC,1.26,0,2,19,0,87.1,30,2019,4,Current,0,Low (<10%),High (100k+),0.197,High Risk,36
100069,12000,36 months,14.35,412.17,C,C2,10+ years,MORTGAGE,82132.18,credit_card,VA,6.56,0,1,14,0,61.6,26,2021,3,Current,0,Low (<10%),Upper-Middle (70-100k),0.146,Medium Risk,36
100070,10000,36 months,7.96,313.18,A,A2,5 years,RENT,37066.99,debt_consolidation,VA,16.13,0,2,18,0,62.9,37,2021,9,Fully Paid,0,Moderate (10-20%),Low (<40k),0.27,Low Risk,36
100071,15000,36 months,13.19,506.78,C,C5,6 years,RENT,53847.04,credit_card,VA,31.72,0,0,4,0,46.6,16,2022,10,Fully Paid,0,Very High (30%+),Lower-Middle (40-70k),0.279,Medium Risk,36
100072,20000,36 months,9.54,641.03,B,B2,7 years,MORTGAGE,69190.58,home_improvement,OH,17.81,2,0,7,0,39.1,23,2022,8,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.289,Low Risk,36
100073,12000,36 months,11.65,396.57,B,B3,8 years,MORTGAGE,45854.27,debt_consolidation,NJ,17.95,0,0,13,0,25.3,13,2021,1,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.262,Low Risk,36
100074,20000,36 months,20.79,751.35,E,E4,8 years,MORTGAGE,42941.67,vacation,CA,39.47,1,0,24,0,45.2,26,2019,5,Fully Paid,0,Very High (30%+),Lower-Middle (40-70k),0.466,High Risk,36
100075,30000,36 months,12.01,996.57,C,C3,7 years,MORTGAGE,55265.81,credit_card,VA,34.72,0,0,7,1,12.6,26,2020,5,Charged Off,1,Very High (30%+),Lower-Middle (40-70k),0.543,Medium Risk,36
100076,20000,36 months,7.33,620.56,A,A5,9 years,RENT,80140.01,debt_consolidation,GA,37.78,0,2,16,1,76.9,23,2023,5,Charged Off,1,Very High (30%+),Upper-Middle (70-100k),0.25,Low Risk,36
100077,15000,60 months,15.43,360.24,D,D1,8 years,OWN,67714.58,other,WA,1.93,0,1,10,0,28.9,22,2021,2,Current,0,Low (<10%),Lower-Middle (40-70k),0.222,Medium Risk,60
100078,20000,36 months,16.27,705.81,D,D1,< 1 year,RENT,84188.77,debt_consolidation,MD,13.14,0,0,2,0,54.6,18,2022,2,Fully Paid,0,Moderate (10-20%),Upper-Middle (70-100k),0.238,Medium Risk,36
100079,30000,60 months,13.63,692.31,C,C3,9 years,RENT,29712.95,debt_consolidation,TN,36.57,0,2,6,0,53.4,20,2023,5,Charged Off,1,Very High (30%+),Low (<40k),1.01,Medium Risk,60
100080,10000,60 months,11.69,220.88,B,B5,4 years,RENT,38588.75,debt_consolidation,MA,19.43,0,2,4,0,31.1,11,2019,11,Fully Paid,0,Moderate (10-20%),Low (<40k),0.259,Low Risk,60
100081,15000,60 months,6.54,293.77,A,A4,9 years,RENT,47748.18,car,WI,4.28,0,1,5,0,49.25,11,2022,5,Fully Paid,0,Low (<10%),Lower-Middle (40-70k),0.314,Low Risk,60
100082,15000,36 months,22.17,574.18,E,E1,< 1 year,RENT,75575.5,small_business,MO,30.8,0,0,20,0,42.4,23,2022,1,Fully Paid,0,Very High (30%+),Upper-Middle (70-100k),0.198,High Risk,36
100083,15000,36 months,16.89,533.97,D,D2,2 years,MORTGAGE,48330.3,credit_card,MI,12.49,0,0,10,0,63.2,23,2022,10,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.31,Medium Risk,36
100084,30000,36 months,11.08,983.3,B,B1,6 years,MORTGAGE,62081.82,debt_consolidation,IL,23.14,0,0,2,0,19.2,5,2021,2,Fully Paid,0,High (20-30%),Lower-Middle (40-70k),0.483,Low Risk,36
100085,15000,60 months,15.93,364.21,D,D4,5 years,RENT,42601.01,credit_card,PA,26.04,0,2,3,0,66.2,14,2022,4,Fully Paid,0,High (20-30%),Lower-Middle (40-70k),0.352,Medium Risk,60
100086,7500,36 months,29.76,317.4,G,G5,< 1 year,RENT,51531.49,other,NY,30.25,2,0,17,0,12.0,29,2020,5,Charged Off,1,Very High (30%+),Lower-Middle (40-70k),0.146,High Risk,36
100087,20000,36 months,8.36,630.05,A,A2,3 years,MORTGAGE,36070.89,debt_consolidation,CA,20.27,0,0,24,0,34.2,41,2023,7,Fully Paid,0,High (20-30%),Low (<40k),0.554,Low Risk,36
100088,25000,36 months,25.06,994.79,F,F2,7 years,MORTGAGE,56208.5,major_purchase,NY,15.22,0,0,17,0,30.5,23,2021,4,Charged Off,1,Moderate (10-20%),Lower-Middle (40-70k),0.445,High Risk,36
100089,7500,60 months,14.47,176.34,C,C2,< 1 year,MORTGAGE,51818.35,major_purchase,WI,36.91,0,0,4,0,39.9,6,2019,4,Fully Paid,0,Very High (30%+),Lower-Middle (40-70k),0.145,Medium Risk,60
100090,12000,36 months,8.9,381.04,A,A4,5 years,RENT,20000.0,debt_consolidation,TX,4.23,0,0,24,0,38.6,42,2022,8,Fully Paid,0,Low (<10%),Low (<40k),0.6,Low Risk,36
100091,5000,60 months,9.51,105.03,B,B3,6 years,MORTGAGE,61819.32,debt_consolidation,FL,10.62,0,0,5,0,22.9,11,2023,2,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.081,Low Risk,60
100092,15000,36 months,7.21,464.6,A,A4,5 years,OWN,22588.71,debt_consolidation,PA,7.08,0,1,16,0,68.1,25,2022,5,Charged Off,1,Low (<10%),Low (<40k),0.664,Low Risk,36
100093,10000,36 months,19.17,367.42,E,E5,4 years,MORTGAGE,182566.79,debt_consolidation,FL,25.84,0,2,3,0,24.3,22,2021,10,Current,0,High (20-30%),High (100k+),0.055,High Risk,36
100094,15000,60 months,19.41,392.5,E,E1,7 years,MORTGAGE,62713.35,home_improvement,TX,10.12,1,1,9,1,22.7,16,2023,7,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.239,High Risk,60
100095,18000,36 months,15.15,625.3,D,D5,2 years,RENT,50260.47,moving,GA,32.09,0,1,15,0,35.0,18,2019,6,Fully Paid,0,Very High (30%+),Lower-Middle (40-70k),0.358,Medium Risk,36
100096,5000,60 months,15.08,119.16,D,D2,1 year,MORTGAGE,84814.47,debt_consolidation,FL,24.99,1,1,5,1,6.9,18,2019,11,Fully Paid,0,High (20-30%),Upper-Middle (70-100k),0.059,Medium Risk,60
100097,18000,60 months,29.33,574.98,G,G5,10+ years,RENT,38539.62,debt_consolidation,MO,26.26,0,0,24,0,37.2,32,2020,5,Late (31-120 days),1,High (20-30%),Low (<40k),0.467,High Risk,60
100098,15000,36 months,18.55,546.43,D,D3,8 years,MORTGAGE,62122.08,home_improvement,GA,33.86,0,0,15,0,55.8,22,2020,12,Charged Off,1,Very High (30%+),Lower-Middle (40-70k),0.241,Medium Risk,36
100099,18000,36 months,6.32,550.21,A,A2,2 years,RENT,61062.57,debt_consolidation,NJ,38.61,0,1,6,0,50.8,6,2022,5,Current,0,Very High (30%+),Lower-Middle (40-70k),0.295,Low Risk,36
100100,20000,60 months,7.67,402.38,A,A2,9 years,MORTGAGE,46171.11,debt_consolidation,AZ,7.76,0,1,8,0,35.5,9,2019,1,Charged Off,1,Low (<10%),Lower-Middle (40-70k),0.433,Low Risk,60
100101,10000,36 months,8.87,317.39,A,A1,6 years,MORTGAGE,71297.03,credit_card,FL,5.96,1,1,16,0,72.2,19,2022,5,Fully Paid,0,Low (<10%),Upper-Middle (70-100k),0.14,Low Risk,36
100102,10000,36 months,6.54,306.67,A,A4,4 years,MORTGAGE,54889.15,credit_card,FL,28.94,0,0,3,0,60.2,20,2022,12,Fully Paid,0,High (20-30%),Lower-Middle (40-70k),0.182,Low Risk,36
100103,12000,36 months,18.15,434.73,D,D5,6 years,MORTGAGE,87894.4,debt_consolidation,WI,5.9,1,1,18,0,99.8,32,2022,11,Charged Off,1,Low (<10%),Upper-Middle (70-100k),0.137,Medium Risk,36
100104,15000,36 months,16.54,531.36,D,D4,10+ years,RENT,43478.32,medical,WA,13.38,0,0,7,0,93.0,23,2021,5,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.345,Medium Risk,36
100105,12000,36 months,13.37,406.47,C,C5,6 years,OWN,32734.08,car,FL,3.22,0,0,7,0,15.9,15,2023,8,Fully Paid,0,Low (<10%),Low (<40k),0.367,Medium Risk,36
100106,10000,60 months,6.83,197.21,A,A4,8 years,MORTGAGE,52578.48,debt_consolidation,WA,17.16,1,0,5,0,6.3,15,2021,2,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.19,Low Risk,60
100107,15000,60 months,18.85,387.87,D,D3,7 years,RENT,60498.57,major_purchase,MO,2.09,0,0,6,0,72.5,8,2023,9,Late (31-120 days),1,Low (<10%),Lower-Middle (40-70k),0.248,Medium Risk,60
100108,10000,60 months,6.68,196.51,A,A5,1 year,MORTGAGE,85637.24,credit_card,OH,4.59,0,1,23,0,54.4,39,2023,9,Fully Paid,0,Low (<10%),Upper-Middle (70-100k),0.117,Low Risk,60
100109,12000,60 months,18.45,307.67,D,D2,7 years,RENT,179590.05,debt_consolidation,NY,11.62,0,0,20,0,20.1,36,2021,8,Charged Off,1,Moderate (10-20%),High (100k+),0.067,Medium Risk,60
100110,10000,36 months,8.61,316.19,A,A4,3 years,MORTGAGE,80611.73,debt_consolidation,MO,21.55,0,0,12,0,44.1,30,2022,5,Fully Paid,0,High (20-30%),Upper-Middle (70-100k),0.124,Low Risk,36
100111,25000,36 months,13.19,844.64,C,C1,3 years,MORTGAGE,52311.59,debt_consolidation,TN,6.32,0,4,4,0,90.6,16,2020,5,Fully Paid,0,Low (<10%),Lower-Middle (40-70k),0.478,Medium Risk,36
100112,20000,60 months,16.25,489.02,D,D3,Unknown,RENT,36801.61,major_purchase,TX,39.54,0,0,5,0,98.0,10,2019,4,Fully Paid,0,Very High (30%+),Low (<40k),0.543,Medium Risk,60
100113,10000,36 months,22.89,386.52,E,E5,5 years,MORTGAGE,90587.66,debt_consolidation,NJ,36.73,0,0,3,0,65.2,17,2021,5,Current,0,Very High (30%+),Upper-Middle (70-100k),0.11,High Risk,36
100114,10000,36 months,6.3,305.58,A,A2,8 years,MORTGAGE,40206.29,credit_card,IN,29.95,2,1,6,0,47.1,17,2021,8,Charged Off,1,High (20-30%),Lower-Middle (40-70k),0.249,Low Risk,36
100115,30000,36 months,7.97,939.68,A,A1,2 years,MORTGAGE,21734.3,credit_card,PA,3.08,0,2,16,1,76.3,18,2023,12,Fully Paid,0,Low (<10%),Low (<40k),1.38,Low Risk,36
100116,25000,36 months,17.6,898.8,D,D2,3 years,RENT,45674.78,debt_consolidation,MD,15.18,0,0,15,1,1.8,34,2022,3,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.547,Medium Risk,36
100117,5000,60 months,22.22,138.72,E,E3,10+ years,MORTGAGE,32454.66,credit_card,MD,29.07,0,1,16,0,11.3,35,2019,8,Fully Paid,0,High (20-30%),Low (<40k),0.154,High Risk,60
100118,10000,60 months,9.22,208.65,B,B3,1 year,MORTGAGE,40334.55,credit_card,NC,35.09,0,0,24,0,24.0,39,2023,5,Late (31-120 days),1,Very High (30%+),Lower-Middle (40-70k),0.248,Low Risk,60
100119,12000,60 months,6.66,235.69,A,A4,8 years,MORTGAGE,57926.94,small_business,CA,21.01,0,3,9,0,69.4,21,2021,4,Fully Paid,0,High (20-30%),Lower-Middle (40-70k),0.207,Low Risk,60
100120,15000,60 months,13.89,348.17,C,C5,5 years,MORTGAGE,56046.96,moving,VA,4.17,3,0,3,0,47.3,4,2019,12,Current,0,Low (<10%),Lower-Middle (40-70k),0.268,Medium Risk,60
100121,10000,60 months,12.42,224.57,C,C3,< 1 year,MORTGAGE,26347.15,credit_card,TN,13.25,0,0,14,0,20.7,33,2019,12,Fully Paid,0,Moderate (10-20%),Low (<40k),0.38,Medium Risk,60
100122,7500,36 months,10.32,243.13,B,B5,4 years,RENT,41716.42,credit_card,NC,32.73,0,1,8,1,67.5,20,2021,3,Fully Paid,0,Very High (30%+),Lower-Middle (40-70k),0.18,Low Risk,36
100123,15000,36 months,11.14,492.08,B,B5,6 years,OWN,79552.37,major_purchase,AZ,32.95,0,3,24,0,83.0,36,2023,4,Charged Off,1,Very High (30%+),Upper-Middle (70-100k),0.189,Low Risk,36
